Path,Name,DisplayValue,Type,Length,DisplayFormat,ValidityChkOpt,ValidityChkStr,ToolTip,Visibility
,,,struct,1,none,"none","","",on
,SFN,853,uint16,1,numeric,"Limits:[min,max]","[0,1023]","System Frame Number, Value: 0-1023",on
,Slot,2,uint16,1,numeric,"Limits:[min,max]","[0,319]","Value: 0-319",on
,nPDUs,42,uint8,1,numeric,"CallbackFunction","@dl_tti_callback","Number of PDUs that are included in this message. All PDUs in the message are numbered in order. Value 0-255",on
,nGroup,8,uint8,1,numeric,"CallbackFunction","@dl_tti_callback","Number of UE Groups included in this message. Value 0-255",on
,PDU(1),,struct,1,none,"none","","",on
PDU(1),PDUType,0,uint16,1,numeric,"CallbackFunction","dl_tti_callback","0: PDCCH, 1: PDSCH,  2: CSI-RS, 3: SSB",on
PDU(1),PDUSize,0,uint16,1,numeric,"Limits:[min,max]","[0, 65535]","Size of the PDU control information (in bytes). This length value includes the 4 bytes required for the PDU type and PDU size parameters.",on
PDU(1),PDCCH,,struct,1,none,"none","","",on
PDU(1).PDCCH,BWP,,struct,1,none,"none","","",on
PDU(1).PDCCH.BWP,BWPsize,48,uint16,1,numeric,"Limits:[min,max]","[1,275]","Number of contiguous PRBs allocated to the BWP, Value: 1->275",on
PDU(1).PDCCH.BWP,BWPStart,0,uint16,1,numeric,"Limits:[min,max]","[0,274]","Bandwidth part start RB index from reference CRB, Value: 0->274",on
PDU(1).PDCCH.BWP,SubcarrierSpacing,1,uint8,1,numeric,"DropDownList","{0,1,2,3,4}","Value:0->4",on
PDU(1).PDCCH.BWP,CyclicPrefix,0,uint8,1,numeric,"DropDownList","{0,1}","Cyclic prefix type, 0: Normal; 1: Extended",on
PDU(1).PDCCH,CORESET,,struct,1,none,"none","","",on
PDU(1).PDCCH.CORESET,StartSymbolIndex,0,uint8,1,numeric,"Limits:[min,max]","[0, 13]","Starting OFDM symbol for the CORESET Value: 0-13",on
PDU(1).PDCCH.CORESET,DurationSymbols,3,uint8,1,numeric,"DropDownList","{1,2,3}","",on
PDU(1).PDCCH.CORESET,FreqDomainResource,"[0,0,0,0,0,255]",uint8,6,matlab expr string,"none","","Frequency domain resources. This is a bitmap defining non-overlapping groups of 6 PRBs in ascending order. [TS38.213 10.1]. Also, corresponds to L1 parameter CORE SET RB N [TS38.211 sec 7.3.2.2]",on
