Path,Name,DisplayValue,Type,Length,DisplayFormat,ValidityChkOpt,ValidityChkStr,ToolTip,Visibility
,,,struct,1,none,none,,,on
,SFN,853,uint16,1,numeric,"Limits:[min,max]","[0,1023]","System Frame Number, Value: 0-1023",on
,Slot,0,uint16,1,numeric,"Limits:[min,max]","[0,319]",Value: 0-319,on
,nPDUs,1,uint8,1,numeric,CallbackFunction,@dl_tti_callback,Number of PDUs that are included in this message. All PDUs in the message are numbered in order. Value 0-255,on
,nGroup,0,uint8,1,numeric,CallbackFunction,@dl_tti_callback,Number of UE Groups included in this message. Value 0-255,on
,PDU(1),,struct,1,none,none,,,on
PDU(1),PDUType,3,uint16,1,numeric,CallbackFunction,dl_tti_callback,"0: PDCCH, 1: PDSCH,  2: CSI-RS, 3: SSB",on
PDU(1),PDUSize,0,uint16,1,numeric,"Limits:[min,max]","[0, 65535]",Size of the PDU control information (in bytes). This length value includes the 4 bytes required for the PDU type and PDU size parameters.,on
PDU(1),SSB,,struct,1,none,none,,,on
PDU(1).SSB,physCellId,20,uint16,1,numeric,"Limits:[min,max]","[0, 1007]",Physical cell ID. Value: 0-1007,on
PDU(1).SSB,betaPss,0,uint8,1,numeric,DropDownList,"{0,1}","PSS EPRE to SSS EPRE in a SS/PBCH block. Values: 0 = 0dB, 1 = 3dB",on
PDU(1).SSB,ssbBlockIndex,0,uint8,1,numeric,"Limits:[min,max]","[0,63]",SS/PBCH block index within a SSB burst set. Required for PBCH DMRS scrambling. Value: 0-63 (Lmax),on
PDU(1).SSB,ssbSubcarrierOffset,6,uint8,1,numeric,"Limits:[min,max]","[0,31]",ssbSubcarrierOffset. Value: 0-31,on
PDU(1).SSB,SsbOffsetPointA,124,uint16,1,numeric,"Limits:[min,max]","[0,2199]",Offset of lowest subcarrier of lowest resource block used for SS/PBCH block. Value: 0-2199,on
PDU(1).SSB,bchPayloadFlag,1,uint8,1,numeric,CallbackFunction,@dl_tti_callback,"A value indicating how the BCH payload is generated. This should match the PARAM/CONFIG TLVs. Value: 0: MAC generates the full PBCH payload, 1: PHY generates the timing PBCH bits 2: PHY generates the full PBCH payload",on
PDU(1).SSB,MAC_MIB_PDU(1),,struct,1,none,none,,,on
PDU(1).SSB.MAC_MIB_PDU(1),bchPayload,1,uint32,1,numeric,none,,"BCH payload. The valid bits are indicated in the PARAM/CONFIG TLVs. If PARAM/CONFIG TLVs indicate MAC generates full bchPayload then the payload length is 31 bits with the 8 LSB bits being (SFN, half-radio frame bit, SS/PBCH block idx) [TS38.212 sec 7.1.1] Otherwise timing PBCH bits are generated by the PHY. And for bchPayload the 24 LSB are used.",on
PDU(1).SSB,PHY_MIB_PDU,,struct,1,none,none,,,on
PDU(1).SSB,TX_PRECODE_BEAMFORM,,struct,1,none,none,,,on
PDU(1).SSB.TX_PRECODE_BEAMFORM,numPRGs,1,uint16,1,numeric,CallbackFunction,@dl_tti_callback,Number of PRGs spanning this allocation. Value : 1-275,on
PDU(1).SSB.TX_PRECODE_BEAMFORM,prgSize,20,uint16,1,numeric,"Limits:[min,max]","[1,275]",Size in RBs of a precoding resource block group (PRG) – to which same precoding and digital beamforming gets applied. Value: 1-275,on
PDU(1).SSB.TX_PRECODE_BEAMFORM,digBFInterfaces,4,uint8,1,numeric,CallbackFunction,@dl_tti_callback,Number of STD ant ports (parallel streams) feeding into the digBF Value: 0-255,on
PDU(1).SSB.TX_PRECODE_BEAMFORM,PRG(1),,struct,1,none,none,,,on
PDU(1).SSB.TX_PRECODE_BEAMFORM.PRG(1),PMidx,0,uint16,1,numeric,"Limits:[min,max]","[0,65535]",Index to precoding matrix (PM) pre-stored at cell configuration. Note: If precoding is not used this parameter should be set to 0. Value: 0-65535.,on
PDU(1).SSB.TX_PRECODE_BEAMFORM.PRG(1),DIG_BF_INTERFACE(1),,struct,1,none,none,,,on
PDU(1).SSB.TX_PRECODE_BEAMFORM.PRG(1).DIG_BF_INTERFACE(1),beamIdx,0,uint16,1,numeric,"Limits:[min,max]","[0,65535]",Index of the digital beam weight vector pre-stored at cell configuration. The vector maps this input port to output TXRUs. Value: 0-65535,on
PDU(1).SSB.TX_PRECODE_BEAMFORM.PRG(1),DIG_BF_INTERFACE(2),,struct,1,none,none,,,on
PDU(1).SSB.TX_PRECODE_BEAMFORM.PRG(1).DIG_BF_INTERFACE(2),beamIdx,0,uint16,1,numeric,"Limits:[min,max]","[0,65535]",Index of the digital beam weight vector pre-stored at cell configuration. The vector maps this input port to output TXRUs. Value: 0-65535,on
PDU(1).SSB.TX_PRECODE_BEAMFORM.PRG(1),DIG_BF_INTERFACE(3),,struct,1,none,none,,,on
PDU(1).SSB.TX_PRECODE_BEAMFORM.PRG(1).DIG_BF_INTERFACE(3),beamIdx,0,uint16,1,numeric,"Limits:[min,max]","[0,65535]",Index of the digital beam weight vector pre-stored at cell configuration. The vector maps this input port to output TXRUs. Value: 0-65535,on
PDU(1).SSB.TX_PRECODE_BEAMFORM.PRG(1),DIG_BF_INTERFACE(4),,struct,1,none,none,,,on
PDU(1).SSB.TX_PRECODE_BEAMFORM.PRG(1).DIG_BF_INTERFACE(4),beamIdx,0,uint16,1,numeric,"Limits:[min,max]","[0,65535]",Index of the digital beam weight vector pre-stored at cell configuration. The vector maps this input port to output TXRUs. Value: 0-65535,on
